(epoch#1) auroc: 0.7270063409415514, lr: 0.0010000000474974513
(epoch#2) auroc: 0.8251466266135373, lr: 0.0010000000474974513
(epoch#3) auroc: 0.908920772064523, lr: 0.0010000000474974513
(epoch#4) auroc: 0.9361070401311906, lr: 0.0010000000474974513
(epoch#5) auroc: 0.9606348279461525, lr: 0.0010000000474974513
(epoch#6) auroc: 0.9682380701807777, lr: 0.0010000000474974513
(epoch#7) auroc: 0.9743224211804689, lr: 0.0010000000474974513
(epoch#8) auroc: 0.979295399909764, lr: 0.0010000000474974513
(epoch#9) auroc: 0.9877378660994927, lr: 0.0010000000474974513
(epoch#10) auroc: 0.9885990199756403, lr: 0.0010000000474974513
(epoch#12) auroc: 0.9922129919226123, lr: 0.0010000000474974513
(epoch#13) auroc: 0.9927319160260546, lr: 0.0010000000474974513
(epoch#14) auroc: 0.9931600045838298, lr: 0.0010000000474974513
(epoch#16) auroc: 0.9969034486981481, lr: 0.00010000000474974513
(epoch#17) auroc: 0.9971116448392191, lr: 0.00010000000474974513
(epoch#18) auroc: 0.9973972781634463, lr: 0.00010000000474974513
(epoch#19) auroc: 0.9974119662987446, lr: 0.00010000000474974513
(epoch#22) auroc: 0.9975219257544372, lr: 1.0000001111620804e-06
(epoch#30) auroc: 0.9975319220259896, lr: 9.99999993922529e-09
